ASK,BID,QUANTITY
52.734,52.186,0
52.543,52.187,0
52.543,52.177,0
52.524,52.196,0
52.454,52.196,0
52.424,52.416,0
52.443,52.417,0
52.444,52.406,0
52.443,52.407,0
52.483,52.447,0
52.494,52.446,0
52.493,52.447,0
52.493,52.457,0
52.494,52.456,0
52.493,52.457,0
52.493,52.457,0
52.514,52.486,0
52.513,52.487,0
52.544,52.506,0
52.543,52.507,0
52.553,52.517,0
52.563,52.517,0
52.563,52.517,0
52.564,52.546,0
52.553,52.537,0
52.554,52.526,0
52.543,52.527,0
52.563,52.537,0
52.554,52.526,0
52.544,52.526,0
52.553,52.517,0
52.543,52.517,0
52.534,52.506,0
52.543,52.507,0
52.533,52.507,0
52.544,52.496,0
52.533,52.497,0
52.534,52.516,0
52.543,52.517,0
52.553,52.527,0
52.544,52.516,0
52.554,52.516,0
52.544,52.516,0
52.543,52.517,0
52.524,52.516,0
52.523,52.507,0
52.524,52.496,0
52.523,52.487,0
52.523,52.487,0
52.504,52.496,0
52.503,52.477,0
52.514,52.486,0
52.524,52.496,0
52.523,52.507,0
52.533,52.507,0
52.523,52.507,0
52.534,52.506,0
52.544,52.496,0
52.544,52.496,0
52.523,52.497,0
52.534,52.506,0
52.514,52.496,0
52.523,52.497,0
52.533,52.497,0
52.514,52.496,0
52.514,52.496,0
52.533,52.507,0
52.513,52.507,0
52.513,52.487,0
52.504,52.486,0
52.494,52.476,0
52.493,52.467,0
52.493,52.457,0
52.473,52.457,0
52.473,52.447,0
52.473,52.447,0
52.473,52.447,0
52.473,52.447,0
52.493,52.467,0
52.484,52.466,0
52.494,52.476,0
52.493,52.467,0
52.494,52.466,0
52.494,52.466,0
52.494,52.466,0
52.494,52.466,0
52.494,52.466,0
52.483,52.477,0
52.504,52.466,0
52.493,52.467,0
52.503,52.467,0
52.493,52.467,0
52.503,52.477,0
52.514,52.486,0
52.513,52.497,0
52.523,52.497,0
52.514,52.496,0
52.523,52.497,0
52.534,52.506,0
52.534,52.506,0
52.533,52.507,0
52.533,52.497,0
52.523,52.497,0
52.524,52.496,0
52.524,52.506,0
52.523,52.497,0
52.514,52.496,0
52.524,52.506,0
52.533,52.517,0
52.544,52.526,0
52.544,52.516,0
52.534,52.506,0
52.544,52.516,0
52.533,52.517,0
52.543,52.517,0
52.534,52.516,0
52.544,52.516,0
