ASK,BID,QUANTITY
27.554,27.526,0
27.544,27.526,0
27.554,27.526,0
27.543,27.527,0
27.554,27.526,0
27.543,27.527,0
27.554,27.536,0
27.553,27.527,0
27.533,27.517,0
27.534,27.516,0
27.544,27.516,0
27.534,27.516,0
27.554,27.526,0
27.544,27.526,0
27.563,27.537,0
27.554,27.536,0
27.563,27.537,0
27.553,27.537,0
27.563,27.547,0
27.574,27.546,0
27.564,27.546,0
27.574,27.546,0
27.574,27.546,0
27.564,27.546,0
27.573,27.547,0
27.564,27.546,0
27.573,27.547,0
27.563,27.547,0
27.574,27.546,0
27.564,27.546,0
27.573,27.547,0
27.564,27.546,0
27.573,27.547,0
27.563,27.547,0
27.573,27.547,0
27.563,27.547,0
27.573,27.547,0
27.563,27.547,0
27.573,27.547,0
27.574,27.546,0
27.583,27.557,0
27.574,27.556,0
27.583,27.557,0
27.574,27.556,0
27.583,27.557,0
27.573,27.557,0
27.583,27.557,0
27.573,27.557,0
27.584,27.556,0
27.573,27.557,0
27.584,27.556,0
27.573,27.557,0
27.574,27.556,0
27.583,27.557,0
27.574,27.556,0
27.583,27.557,0
27.574,27.556,0
27.573,27.557,0
27.593,27.567,0
27.593,27.577,0
27.573,27.557,0
27.584,27.566,0
27.593,27.567,0
27.593,27.567,0
27.593,27.577,0
27.593,27.567,0
27.583,27.567,0
27.583,27.557,0
27.584,27.566,0
27.583,27.567,0
27.594,27.566,0
27.604,27.586,0
27.594,27.576,0
27.584,27.566,0
27.573,27.557,0
27.573,27.557,0
27.574,27.556,0
27.583,27.557,0
27.574,27.556,0
27.554,27.536,0
27.563,27.537,0
27.553,27.537,0
27.554,27.526,0
27.553,27.537,0
27.544,27.526,0
27.554,27.536,0
27.543,27.527,0
27.553,27.537,0
27.563,27.537,0
27.553,27.537,0
27.563,27.537,0
27.554,27.536,0
27.564,27.536,0
27.564,27.546,0
27.564,27.536,0
27.564,27.546,0
27.563,27.537,0
27.554,27.536,0
27.563,27.537,0
27.554,27.536,0
27.563,27.537,0
27.564,27.536,0
27.554,27.536,0
27.564,27.536,0
27.554,27.536,0
27.554,27.536,0
27.564,27.546,0
27.563,27.537,0
27.574,27.556,0
27.583,27.557,0
27.584,27.566,0
27.594,27.566,0
27.584,27.566,0
27.593,27.567,0
27.584,27.566,0
27.593,27.567,0
27.574,27.556,0
27.564,27.546,0
27.573,27.547,0
27.573,27.557,0
27.584,27.566,0
27.583,27.557,0
27.574,27.546,0
27.563,27.547,0
27.573,27.547,0
27.563,27.547,0
27.564,27.536,0
27.553,27.537,0
27.553,27.527,0
27.553,27.537,0
27.553,27.527,0
27.554,27.536,0
27.544,27.526,0
27.534,27.516,0
27.543,27.517,0
27.534,27.516,0
27.544,27.516,0
27.533,27.517,0
27.544,27.516,0
27.534,27.516,0
27.533,27.507,0
27.533,27.507,0
27.533,27.517,0
27.533,27.507,0
27.533,27.517,0
27.543,27.517,0
27.534,27.516,0
27.544,27.516,0
27.533,27.517,0
27.563,27.547,0
27.563,27.537,0
27.563,27.547,0
27.564,27.536,0
27.564,27.546,0
27.563,27.547,0
27.563,27.537,0
27.563,27.547,0
27.563,27.547,0
27.564,27.536,0
27.563,27.547,0
27.563,27.537,0
27.563,27.537,0
27.563,27.547,0
27.564,27.546,0
27.564,27.536,0
27.563,27.547,0
27.573,27.547,0
27.564,27.546,0
27.573,27.557,0
27.583,27.567,0
27.583,27.557,0
27.574,27.556,0
27.573,27.557,0
27.573,27.547,0
27.573,27.557,0
27.584,27.556,0
27.583,27.567,0
27.563,27.537,0
27.564,27.546,0
27.553,27.537,0
27.544,27.526,0
27.544,27.516,0
27.543,27.527,0
27.533,27.517,0
27.544,27.516,0
27.534,27.516,0
27.533,27.517,0
27.533,27.507,0
27.524,27.506,0
27.524,27.506,0
27.514,27.496,0
27.523,27.497,0
27.514,27.496,0
27.523,27.507,0
27.533,27.517,0
27.534,27.506,0
27.534,27.516,0
27.534,27.506,0
27.524,27.506,0
27.524,27.496,0
27.523,27.507,0
27.533,27.507,0
27.524,27.506,0
27.533,27.517,0
27.543,27.517,0
27.534,27.516,0
27.543,27.517,0
27.534,27.516,0
27.543,27.517,0
27.544,27.526,0
27.554,27.536,0
27.543,27.517,0
27.533,27.517,0
27.524,27.496,0
27.513,27.497,0
27.504,27.486,0
27.494,27.476,0
27.503,27.477,0
27.503,27.477,0
27.493,27.477,0
27.504,27.476,0
27.493,27.477,0
27.493,27.467,0
27.483,27.467,0
27.474,27.456,0
27.484,27.466,0
27.494,27.466,0
27.493,27.467,0
27.494,27.466,0
27.493,27.467,0
27.494,27.476,0
27.484,27.466,0
27.483,27.467,0
27.494,27.466,0
27.484,27.466,0
27.473,27.447,0
27.473,27.447,0
27.473,27.457,0
27.474,27.446,0
27.464,27.446,0
27.484,27.466,0
27.474,27.456,0
27.483,27.457,0
27.474,27.456,0
27.474,27.456,0
27.474,27.446,0
27.474,27.456,0
27.474,27.446,-0.12
27.473,27.447,-0.12
27.474,27.456,0
27.474,27.456,0
27.464,27.446,-0.12
27.454,27.426,-0.12
27.454,27.436,-0.12
27.463,27.437,-0.12
27.474,27.446,-0.12
27.463,27.447,0
27.474,27.446,0
27.464,27.446,0
27.473,27.447,0
27.473,27.457,0
27.483,27.457,0
27.474,27.456,0
27.454,27.436,-0.12
27.444,27.426,-0.12
27.434,27.416,-0.12
27.433,27.407,-0.12
27.433,27.417,-0.12
27.443,27.427,-0.12
27.443,27.417,-0.12
27.443,27.427,0
27.463,27.447,0
27.454,27.436,0
27.453,27.427,0
27.444,27.426,0
27.454,27.426,-0.12
27.463,27.437,-0.12
27.463,27.447,0.12
27.474,27.456,0
27.483,27.457,0
27.483,27.467,0
27.483,27.457,0
27.483,27.467,0.12
27.474,27.456,0
27.483,27.467,0.12
27.484,27.456,0
27.474,27.456,-0.12
27.473,27.447,-0.12
27.473,27.457,0.12
27.484,27.456,0
27.474,27.456,-0.12
27.484,27.456,0.12
27.473,27.447,0
27.473,27.457,0
27.473,27.447,-0.12
27.474,27.456,0
27.464,27.446,-0.12
27.464,27.436,-0.12
27.454,27.436,-0.12
27.463,27.447,-0.12
27.454,27.436,-0.12
27.464,27.446,0
27.443,27.427,-0.12
27.464,27.446,0
27.464,27.446,0
27.474,27.456,0.12
27.463,27.447,0.12
27.463,27.437,0.12
27.453,27.437,0
27.443,27.427,0
27.453,27.437,0
