ASK,BID,QUANTITY
54.493,54.467,0
54.503,54.467,0
54.504,54.456,0
54.503,54.477,0
54.493,54.437,0
54.473,54.417,0
54.473,54.437,0
54.473,54.427,0
54.473,54.437,0
54.473,54.427,0
54.463,54.437,0
54.473,54.417,0
54.463,54.417,0
54.474,54.416,0
54.453,54.417,0
54.453,54.397,0
54.424,54.376,0
54.454,54.396,0
54.423,54.377,0
54.454,54.376,0
54.453,54.397,0
54.434,54.376,0
54.403,54.347,0
54.433,54.367,0
54.434,54.386,0
54.433,54.367,0
54.413,54.377,0
54.413,54.367,0
54.403,54.367,0
54.414,54.346,0
54.414,54.376,0
54.413,54.367,0
54.433,54.367,0
54.434,54.406,0
54.504,54.436,0
54.513,54.437,0
54.503,54.457,0
54.504,54.436,0
54.514,54.456,0
54.514,54.476,0
54.514,54.456,0
54.503,54.457,0
54.504,54.446,0
54.514,54.466,0
54.504,54.456,0
54.503,54.447,0
54.503,54.457,0
54.504,54.446,0
54.503,54.457,0
54.514,54.456,0
54.513,54.457,0
54.483,54.457,0
54.504,54.456,0
54.473,54.427,0
54.494,54.456,0
54.494,54.426,0
54.504,54.426,0
54.503,54.427,0
54.503,54.447,0
54.504,54.426,0
54.504,54.446,0
54.514,54.446,0
54.514,54.476,0
54.513,54.467,0
54.514,54.466,0
54.544,54.496,0
54.543,54.467,0
54.544,54.496,0
54.544,54.496,0
54.524,54.476,0
54.523,54.477,0
54.503,54.447,0
54.494,54.446,0
54.503,54.447,0
54.494,54.446,0
54.504,54.446,0
54.493,54.447,0
54.503,54.447,0
54.493,54.447,0
54.504,54.446,0
54.494,54.446,0
54.484,54.446,0
54.484,54.456,0
54.483,54.447,0
54.504,54.446,0
54.523,54.487,0
54.523,54.447,0
54.514,54.446,0
54.524,54.486,0
54.523,54.477,0
54.523,54.447,0
54.543,54.447,0
54.543,54.477,0
54.544,54.446,0
54.524,54.446,0
54.504,54.456,0
54.523,54.467,0
54.523,54.477,0
54.523,54.467,0
54.523,54.477,0
54.523,54.467,0
54.513,54.467,0
54.483,54.457,0
54.524,54.476,0
54.503,54.467,0
54.504,54.456,0
54.513,54.467,0
54.524,54.466,0
54.524,54.476,0
54.524,54.466,0
54.524,54.476,0
54.524,54.466,0
54.523,54.477,0
54.523,54.487,0
54.544,54.486,0
54.524,54.476,0
54.523,54.467,0
54.543,54.507,0
54.543,54.497,0
54.563,54.497,0
54.564,54.506,0
54.563,54.487,0
54.564,54.516,0
54.564,54.486,0
54.614,54.576,0
54.614,54.586,0
54.614,54.576,0
54.643,54.597,0
54.644,54.596,0
54.643,54.587,0
54.643,54.597,0
54.644,54.586,0
54.644,54.596,0
54.624,54.586,0
54.643,54.587,0
54.624,54.586,0
54.624,54.586,0
54.623,54.597,0
54.624,54.586,0
54.623,54.597,0
54.623,54.587,0
54.624,54.596,0
54.643,54.587,0
54.643,54.597,0
54.654,54.596,0
54.653,54.597,0
54.664,54.596,0
54.643,54.597,0
54.664,54.596,0
54.633,54.597,0
54.633,54.597,0
54.634,54.586,0
54.633,54.597,0
54.623,54.587,0
54.613,54.587,0
54.623,54.587,0
54.604,54.546,0
54.603,54.537,0
54.583,54.537,0
54.583,54.527,0
54.583,54.507,0
54.573,54.507,0
54.583,54.507,0
54.584,54.506,0
54.583,54.537,0
54.603,54.547,0
54.604,54.536,0
54.583,54.537,0
54.574,54.506,0
54.584,54.506,0
54.564,54.506,0
54.584,54.506,0
54.563,54.507,0
54.583,54.507,0
54.563,54.507,0
54.584,54.506,0
54.563,54.507,0
54.564,54.536,0
54.563,54.527,0
54.564,54.506,0
54.564,54.526,0
54.564,54.506,0
54.564,54.526,0
54.563,54.507,0
54.583,54.527,0
54.554,54.506,0
54.534,54.486,0
54.544,54.486,0
54.524,54.466,0
54.524,54.446,0
54.503,54.447,0
54.493,54.447,0
54.494,54.426,0
54.493,54.457,0
54.514,54.456,0
54.513,54.427,0
54.524,54.426,0
54.493,54.427,0
54.523,54.427,0
54.523,54.427,0
54.514,54.426,0
54.504,54.446,0
54.483,54.437,0
54.504,54.426,0
54.484,54.426,0
54.484,54.436,0
54.463,54.427,0
54.464,54.406,0
54.484,54.406,0
54.463,54.407,0
54.493,54.437,0
54.474,54.426,0
54.484,54.406,0
54.463,54.407,0
54.484,54.436,0
54.484,54.406,0
54.484,54.426,0
54.453,54.387,0
54.454,54.386,0
54.463,54.387,0
54.483,54.387,0
54.453,54.387,0
54.464,54.386,0
54.484,54.416,0
54.463,54.417,0
54.463,54.387,0
54.464,54.446,0
54.503,54.467,0
54.504,54.456,0
54.523,54.467,0
54.514,54.466,0
54.503,54.447,0
54.504,54.456,0
54.504,54.446,0
54.513,54.447,0
54.504,54.446,0
54.484,54.446,0
54.504,54.446,0
54.473,54.447,0
54.483,54.447,0
54.474,54.446,0
54.483,54.447,0
54.504,54.446,0
54.484,54.446,0
54.483,54.437,0
54.483,54.427,0
54.474,54.426,0
54.484,54.426,0
54.484,54.426,0
54.473,54.427,0
54.483,54.427,0
54.503,54.427,0
54.504,54.456,0
54.503,54.447,0
54.483,54.427,0
54.464,54.426,0
54.473,54.427,0
54.484,54.426,0
54.473,54.427,0
54.483,54.427,0
54.504,54.446,0
54.504,54.426,0
54.474,54.426,0
54.483,54.427,0
54.483,54.447,0
54.473,54.427,0
54.503,54.447,0
54.474,54.426,0
54.484,54.426,0
54.504,54.426,0
54.463,54.427,0
54.503,54.427,0
54.483,54.437,0
54.484,54.426,0
54.503,54.427,0
54.483,54.427,0
54.464,54.406,0
54.473,54.407,0
54.483,54.407,0
54.494,54.466,0
54.524,54.466,0
54.494,54.466,0
54.504,54.466,0
54.504,54.456,0
54.484,54.456,0
54.503,54.457,0
54.503,54.447,0
54.504,54.456,0
54.483,54.427,0
54.454,54.406,0
54.444,54.406,0
54.454,54.406,0
54.464,54.406,0
54.483,54.427,0
54.504,54.426,0
54.504,54.446,0
54.473,54.427,0
54.484,54.426,0
54.484,54.426,0
54.503,54.447,0
54.523,54.467,0
54.523,54.457,0
54.523,54.447,0
54.523,54.467,0
54.523,54.457,0
54.504,54.446,0
54.523,54.467,0
54.503,54.467,0
54.524,54.466,0
54.523,54.477,0
54.523,54.467,0
54.504,54.476,0
54.503,54.467,0
54.504,54.476,0
54.534,54.486,0
54.524,54.486,0
54.543,54.487,0
54.524,54.486,0
54.513,54.487,0
54.524,54.486,0
54.504,54.466,0
54.503,54.447,0
54.504,54.476,0
54.493,54.477,0
54.494,54.456,0
54.504,54.476,0
54.503,54.467,0
54.503,54.447,0
54.504,54.456,0
54.504,54.466,0
54.504,54.456,0
54.503,54.477,0
54.494,54.456,0
54.503,54.457,0
54.484,54.456,0
54.464,54.436,0
54.473,54.437,0
54.463,54.437,0
54.504,54.456,0
54.503,54.467,0
54.503,54.457,0
54.503,54.447,0
54.483,54.437,0
54.473,54.437,0
54.484,54.436,0
54.463,54.417,0
54.464,54.406,0
54.464,54.416,0
54.433,54.407,0
54.443,54.387,0
54.443,54.407,0
54.443,54.387,0
54.424,54.386,0
54.443,54.387,0
54.434,54.386,0
54.443,54.387,0
54.424,54.366,0
54.424,54.386,0
54.424,54.366,0
54.414,54.366,0
54.393,54.367,0
54.404,54.366,0
54.404,54.366,0
54.394,54.366,0
54.403,54.367,0
54.394,54.366,0
54.394,54.366,0
54.403,54.367,0
54.394,54.366,0
54.394,54.356,0
54.413,54.367,0
54.404,54.366,0
54.434,54.386,0
54.443,54.387,0
54.423,54.387,0
54.444,54.386,0
54.444,54.396,0
54.414,54.386,-0.012
54.433,54.387,-0.012
54.424,54.386,-0.012
54.423,54.377,-0.012
54.424,54.386,-0.012
54.424,54.386,0
54.434,54.386,-0.012
54.434,54.396,0
54.433,54.387,0.012
54.433,54.397,0.012
54.424,54.396,0.012
54.434,54.396,0.012
54.414,54.386,0
54.424,54.386,0
54.424,54.386,0
54.404,54.366,0
54.404,54.346,-0.012
54.394,54.366,0
54.403,54.367,0
54.404,54.346,-0.012
54.394,54.356,-0.012
54.424,54.386,0.012
54.443,54.387,0.012
54.433,54.387,0.012
54.443,54.387,0.012
54.443,54.407,0.012
54.444,54.396,0.012
54.444,54.386,0
54.434,54.406,0.012
54.443,54.387,0
54.433,54.387,0
54.444,54.386,0
54.443,54.377,0
54.424,54.376,0
54.403,54.377,0
54.424,54.376,0
54.413,54.377,0
54.413,54.377,0
54.424,54.376,0
54.404,54.376,0
54.424,54.376,0
54.413,54.377,0
54.423,54.387,0.012
54.424,54.366,0
54.424,54.386,0.012
54.444,54.386,0.012
54.443,54.367,0
54.413,54.367,0
54.403,54.367,0.012
54.413,54.367,0
54.404,54.366,0
54.404,54.346,0
54.413,54.347,0
54.393,54.347,0
54.394,54.346,0
54.373,54.347,-0.012
54.393,54.347,0.012
54.384,54.346,0
54.393,54.347,0
54.383,54.347,0.012
54.394,54.346,0
54.414,54.376,0.012
54.413,54.367,0.012
54.393,54.347,0
54.403,54.347,0.012
54.393,54.347,0.012
54.373,54.347,0
54.394,54.326,0
54.393,54.347,0
54.383,54.347,0
