ASK,BID,QUANTITY
326.384,326.096,0
326.383,326.107,0
326.873,326.387,0
326.704,326.406,0
326.694,326.406,0
326.694,326.476,0
326.694,326.466,0
326.693,326.477,0
326.703,326.517,0
326.704,326.566,0
326.704,326.586,0
326.704,326.576,0
326.703,326.587,0
327.003,326.637,0
326.794,326.586,0
326.793,326.577,0
326.713,326.577,0
326.674,326.466,0
326.674,326.476,0
326.994,326.476,0
326.994,326.706,0
326.993,326.767,0
326.993,326.777,0
326.994,326.776,0
326.834,326.496,0
327.003,326.767,0
327.453,326.947,0
327.354,326.906,0
327.443,326.907,0
327.064,326.856,0
326.904,326.746,0
326.944,326.736,0
326.953,326.747,0
326.954,326.736,0
326.944,326.736,0
326.953,326.837,0
327.054,326.846,0
327.053,326.907,0
326.974,326.816,0
326.954,326.736,0
326.983,326.737,0
326.974,326.736,0
327.343,326.807,0
327.154,326.916,0
327.153,326.937,0
327.214,327.016,0
327.214,326.976,0
327.214,326.996,0
327.214,327.016,0
327.453,327.087,0
327.454,327.146,0
327.403,327.227,0
327.404,327.176,0
327.403,327.147,0
327.304,327.146,0
327.304,327.126,0
327.283,327.107,0
327.283,327.127,0
327.443,327.137,0
327.293,327.127,0
327.293,327.087,0
327.314,326.996,0
327.314,327.026,0
327.394,327.096,0
327.393,327.157,0
327.394,327.116,0
327.394,327.146,0
327.394,327.156,0
327.294,327.046,0
327.294,327.056,0
327.294,327.046,0
327.294,327.086,0
327.373,327.087,0
327.373,327.137,0
327.373,327.127,0
327.373,327.137,0
327.263,327.127,0
327.244,327.066,0
327.234,327.026,0
327.244,327.016,0
327.264,327.016,0
327.094,326.896,0
327.094,326.906,0
327.093,326.897,0
327.173,326.887,0
327.004,326.746,0
327.004,326.606,0
327.003,326.577,0
327.004,326.546,0
327.003,326.567,0
327.004,326.766,0
327.004,326.646,0
326.924,326.646,0
327.003,326.647,0
326.923,326.647,0
327.003,326.647,0
326.923,326.647,0
326.863,326.647,0
327.004,326.736,0
327.004,326.746,0
327.004,326.736,0
327.003,326.747,0
327.003,326.777,0
326.913,326.717,0
326.914,326.696,0
327.004,326.696,0
327.004,326.756,0
327.194,326.836,0
327.263,326.857,0
327.153,326.857,0
327.263,326.887,0
327.214,326.886,0
327.253,326.907,0
327.264,326.886,0
327.263,326.837,0
327.163,326.867,0
327.073,326.777,0
327.073,326.757,0
326.964,326.746,0
326.974,326.686,0
326.953,326.687,0
326.943,326.697,0
326.944,326.686,0
326.943,326.697,0
326.943,326.787,0
326.953,326.787,0
326.953,326.777,0
326.953,326.697,0
326.954,326.786,0
326.953,326.697,0
326.913,326.697,0
326.954,326.776,0
326.943,326.777,0
326.954,326.776,0
326.933,326.757,0
326.923,326.767,0
326.933,326.767,0
326.934,326.756,0
326.884,326.686,0
326.883,326.697,0
326.893,326.697,0
326.893,326.717,0
326.894,326.706,0
326.894,326.716,0
326.893,326.707,0
326.893,326.717,0
326.893,326.707,0
326.893,326.717,0
326.894,326.716,0
326.893,326.707,0
326.893,326.707,0
326.894,326.716,0
326.894,326.706,0
326.894,326.716,0
326.894,326.706,0
326.893,326.717,0
326.903,326.717,0
326.903,326.707,0
326.903,326.707,0
326.903,326.717,0
326.904,326.706,0
326.904,326.716,0
326.903,326.747,0
326.903,326.757,0
326.904,326.766,0
326.884,326.766,0
326.984,326.866,0
327.073,326.917,0
327.083,326.927,0
327.203,326.967,0
327.184,326.976,0
327.184,326.946,0
327.164,326.926,0
327.053,326.917,0
327.063,326.917,0
327.053,326.917,0
327.063,326.917,0
327.053,326.867,0
327.064,326.866,0
327.054,326.866,0
327.053,326.867,0
327.063,326.867,0
327.054,326.866,0
327.063,326.867,0
327.074,326.896,0
327.074,326.956,0
327.073,326.897,0
327.084,326.896,0
327.004,326.866,0
327.083,326.977,0
327.083,326.897,0
327.084,326.896,0
327.074,326.896,0
327.084,326.866,0
327.074,326.896,0
327.083,326.897,0
327.044,326.896,0
327.044,326.916,0
327.053,326.927,0
327.153,326.937,0
327.153,326.927,0
327.063,326.917,0
326.964,326.916,0
327.004,326.916,0
327.114,326.886,0
327.074,326.916,0
326.944,326.866,0
326.913,326.787,0
326.904,326.766,0
326.874,326.756,0
326.884,326.756,0
326.973,326.777,0
326.974,326.766,0
326.974,326.866,0
326.974,326.866,0
326.964,326.866,0
326.973,326.867,0
326.964,326.766,0
326.963,326.867,0
326.974,326.866,0
327.073,326.867,0
327.103,326.977,0
327.114,326.976,0
327.124,326.976,0
327.164,326.976,0
327.203,327.067,0
327.203,327.037,0
327.263,327.167,0
327.253,327.167,0
327.273,327.167,0
327.264,327.166,0
327.283,327.197,0
327.344,327.196,0
327.374,327.276,0
327.364,327.276,0
327.363,327.277,0
327.373,327.277,0
327.374,327.236,0
327.443,327.307,0
327.354,327.226,0
327.363,327.227,0
327.354,327.226,0
327.364,327.226,0
327.353,327.227,0
327.363,327.227,0
327.263,327.087,0
327.254,327.076,0
327.254,327.056,0
327.173,326.917,0
327.174,326.996,0
327.184,326.996,0
327.183,326.997,0
327.194,326.996,0
327.184,326.996,0
327.194,327.006,0
327.184,327.006,0
327.184,327.056,0
327.194,327.056,0
327.234,327.016,0
327.264,327.016,0
327.254,327.006,0
327.264,327.006,0
327.263,327.017,0
327.264,327.016,0
327.254,327.006,0
327.283,327.017,0
327.363,327.017,0
327.353,327.127,0
327.283,327.007,0
327.323,327.017,0
327.223,327.007,0
327.214,327.006,0
327.194,326.986,0
327.194,327.016,0
327.343,327.097,0
327.334,327.096,0
327.274,327.156,0
327.223,327.097,0
327.184,327.096,0
327.173,327.077,0
327.163,327.077,0
327.144,327.076,0
327.234,327.086,0
327.254,327.076,0
327.124,327.036,0
327.184,327.036,0
327.254,327.036,0
327.113,327.037,0
327.253,327.037,0
327.114,326.976,0
327.143,326.997,0
327.073,326.987,0
327.103,326.987,0
327.154,326.986,0
327.083,327.027,0
327.073,326.917,0
327.103,326.947,0
327.074,326.916,0
327.114,326.916,0
327.133,326.917,0
327.133,326.987,0
327.133,326.997,0
327.163,326.997,0
326.994,326.916,0
326.984,326.916,0
327.134,326.956,0
327.174,326.986,0
327.164,327.046,0
327.274,327.116,0
327.333,327.117,0
327.343,327.127,0
327.333,327.127,0
327.344,327.126,0
327.254,327.206,0
327.343,327.247,0
327.333,327.207,0
327.323,327.207,0
327.334,327.206,0
327.324,327.206,0
327.334,327.216,0
327.323,327.217,0
327.333,327.217,0
327.354,327.216,0
327.364,327.216,0
